Ingredients,Allergy name,Allergens
"cucumbers, corn syrup, high fructose corn syrup, vinegar, salt, water, red bell pepper, 0.1% sodium benzoate (preservative), alum, xanthan gum, calcium chloride, polysorbate 80, propylene glycol, extractives of chipotle chilies and other natural flavors, sunflower oil, and yellow 5",none,none
"cucumbers, water, vinegar, sea salt, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, potassium metabisulfite (preservative), yellow 5",none,none
"cucumbers, high fructose corn syrup, vinegar, salt, calcium chloride, alum, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, sugar, water, vinegar, salt, mustard seeds, onion flakes, calcium chloride (firming agent), celery seeds, polysorbate 80, and turmeric (for color).",none,none
"cucumbers, corn syrup, high fructose corn syrup, vinegar, water, salt, red bell pepper, 0.1% sodium benzoate (preservative), alum, xanthan gum, calcium chloride, natural flavors, polysorbate 80, and yellow 5.",celery allergy (uncommon),celery
"cucumbers, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and turmeric (for color)",none,none
"cucumbers, water, vinegar, salt, potassium chloride, magnesium chloride, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, potassium metabisulfite (preservative), and yellow 5.",none,none
"cucumbers, water, vinegar, salt, texas pete hot sauce (peppers, vinegar, salt, xanthan gum, and benzoate of soda (to preserve freshness and flavor), calcium chloride, 0.1% sodium benzoate (preservative), polysorbate 80, propylene glycol, natural and artificial flavors, potassium metabisulfite (preservative), and yellow 5.",none,none
"cucumbers, water, vinegar, salt, texas pete hot sauce (peppers, vinegar, salt, xanthan gum, and benzoate of soda [to preserve freshness and flavor]), calcium chloride, 0.1% sodium benzoate (preservative), polysorbate 80, propylene glycol, natural and artificial flavors, potassium metabisulfite (preservative), and yellow 5.",none,none
"cucumbers, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, potassium metabisulfite (preservative), and yellow 5.",none,none
"cucumbers, water, vinegar, salt, onion flakes, garlic flakes, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, potassium metabisulfite (preservative), and yellow 5.",none,none
"cucumbers, water, vinegar, sea salt, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, potassium metabisulfite (preservative), and yellow 5.",none,none
"cucumbers, water, vinegar, sea salt, onion flakes, garlic flakes, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors polysorbate 80, potassium metabisulfite (preservative), and yellow 5.",none,none
"banana peppers, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), polysorbate 80, sodium bisulfite (preservative), and turmeric.",none,none
"jalapeno peppers, water, vinegar, salt, dehydrated onions, dehydrated garlic, calcium chloride, 0.1% sodium benzoate (preservative), and yellow 5.",none,none
"jalapeno peppers, water, vinegar, salt, dehydrated onions, dehydrated garlic, calcium chloride, 0.1% sodium benzoate (preservative), and yellow 5.",none,none
"imported peppers, water, vinegar, salt, citric acid, calcium chloride, 0.1% sodium benzoate (preservative), and yellow 5.",none,none
"roasted red bell peppers, water, salt, sugar, citric acid and calcium chloride.",none,none
"roasted red bell peppers, water, vinegar, sugar, garlic, salt, olive oil, citric acid and calcium chloride.",none,none
"cucumbers, sugar, water, vinegar, salt, mustard seeds, onion flakes, calcium chloride, 0.1% sodium benzoate (preservative), celery seeds, and yellow 5.",celery allergy (uncommon),celery
"cucumbers, sugar, vinegar, water, salt, calcium chloride, alum, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, water, vinegar, sea salt, calcium chloride (firming agent), natural flavors, polysorbate 80, and turmeric (for color).",none,none
"cucumber, water, vinegar, salt, calcium chloride (firming agent), natural flavors, polysorbate 80, and turmeric (for color).",none,none
"cucumbers, sugar, water, vinegar, salt, mustard seeds, onion flakes, calcium chloride (firming agent), celery seeds, polysorbate 80,and turmeric (for color).",celery allergy (uncommon),celery
"cucumbers, sugar, water, vinegar, salt, mustard seeds, onion flakes, calcium chloride (firming agent), celery seeds, polysorbate 80, and turmeric (for color).",celery allergy (uncommon),celery
"cucumbers, water, vinegar, sea salt, calcium chloride (firming agent), natural flavors, polysorbate 80, and turmeric (for color).",none,none
"cucumbers, corn syrup, high fructose corn syrup, vinegar, sea salt, water, red bell pepper, 0.1% sodium benzoate (preservative), alum, xanthan gum, calcium chloride, natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, water, vinegar, sea salt, red bell pepper, calcium chloride, alum, xanthan gum, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, water, vinegar, sea salt, red bell pepper, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, high fructose corn syrup, vinegar, sea salt, mustard seeds, onion flakes, red bell pepper, calcium chloride, 0.1% sodium benzoate (preservative), celery seeds, and yellow 5.",celery allergy (uncommon),celery
"cucumbers, water, vinegar, sea salt, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, water, vinegar, sea salt, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, high fructose corn syrup, water, vinegar, sea salt, mustard seeds, onion flakes, calcium chloride, 0.1% sodium benzoate (preservative), celery seeds, and yellow 5.",celery allergy (uncommon),celery
"cucumbers, water, vinegar, sea salt, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, potassium metabisulfite (preservative), and yellow 5.",none,none
"cucumbers, water, vinegar, sea salt,calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, high fructose corn syrup, water, vinegar, sea salt, mustard seeds, onion flakes, calcium chloride, 0.1% sodium benzoate (preservative), celery seeds, yellow 5, and maltol.",none,none
"cucumbers, water, vinegar, sea salt, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",none,none
"cucumbers, water, vinegar, sea salt, calcium chloride (firming agent), natural flavors, polysorbate 80, and turmeric (for color).",none,none
"cucumbers,water,vinegar, sea salt, calcium chloride (firming agent), natural flavors, polysorbate 80, and turmeric (for color).",none,none
"cucumbers, water, vinegar, sea salt, calcium chloride (firming agent), natural flavors, polysorbate 80, and turmeric (for color).",none,none
"cucumbers, corn syrup, high fructose corn syrup, vinegar, salt, water, red bell pepper, 0.1% sodium benzoate (preservative), alum, xanthan gum, calcium chloride, polysorbate 80, propylene glycol, natural and artificial flavors, and yellow 5.","artificial color sensitivity (yellow 5), sugar allergy (uncommon)","corn syrup, high fructose corn syrup, yellow 5"
"cucumbers, high fructose corn syrup, water, vinegar, salt, mustard seeds, onion flakes, calcium chloride 0.1% sodium benzoate (preservative), polysorbate 80, propylene glycol, natural and artificial flavors, celery seeds, and yellow 5.","artificial color sensitivity (yellow 5), celery allergy, mustard allergy, onion allergy, sugar allergy (uncommon)","celery seeds, high fructose corn syrup, mustard seeds, onion flakes, yellow 5"
"cucumbers, corn syrup, high fructose corn syrup, vinegar, water, salt, red bell pepper, 0.1% sodium benzoate (preservative), alum, xanthan gum, calcium chloride, natural flavors, polysorbate 80, and yellow 5.","artificial color sensitivity (yellow 5), bell pepper allergy, sugar allergy (uncommon)","corn syrup, high fructose corn syrup, natural flavors, red bell pepper, yellow 5"
"cucumbers, corn syrup, high fructose corn syrup, vinegar, salt, water, red bell pepper, 0.1% sodium benzoate (preservative), alum, xanthan gum, calcium chloride, natural flavors, polysorbate 80, and yellow 5.","artificial color sensitivity (yellow 5), bell pepper allergy, sugar allergy (uncommon)","corn syrup, high fructose corn syrup, natural flavors, red bell pepper, yellow 5"
"cucumbers, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), alum, natural flavors, polysorbate 80, potassium sorbate (preservative), and yellow 5.",artificial color sensitivity (yellow 5),"natural flavors, yellow 5"
"cucumbers, high fructose corn syrup, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), alum, natural flavors, polysorbate 80, potassium sorbate (preservative), and yellow 5.","artificial color sensitivity (yellow 5), sugar allergy (uncommon)","high fructose corn syrup, natural flavors, yellow 5"
"cucumbers, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",artificial color sensitivity (yellow 5,"natural flavors, yellow 5"
"cucumbers, water, vinegar, salt, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, yellow 5.",artificial color sensitivity (yellow 5,"natural flavors, yellow 5"
"cucumbers, water, vinegar, salt, onion flakes, garlic flakes, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",artificial color sensitivity (yellow 5,"natural flavors, yellow 5"
"cucumbers, water, vinegar, salt, garlic flakes, calcium chloride, 0.1% sodium benzoate (preservative), natural flavors, polysorbate 80, and yellow 5.",artificial color sensitivity (yellow 5,"natural flavors, yellow 5"
"tomato puree (tomato paste, water), tomatoes, light cream (milk), onions, ginger, garlic, canola oil, lemon juice concentrate, sea salt, coriander cumin fenugreek leaves, turmeric, paprika, red pepper, cinnamon, cloves.","dairy allergy, lactose intolerance",milk
"sugar and/or fructose, pineapple, filtered water, citric acid, fd&c yellow #5 and #6, fd&c red #40 and less than 0.1% of sodium benzoate (as preservative).",none,none
invert sugar caramel color,none,none
"tumeric, allspice, pepper, coriander, fenugreek, salt, cumin, garlic, onion, nutmeg, cinnamon, thyme, and spices.",none,none
"butter beans, water, salt, ascorbic acid.",none,none
"wheat, salt, pepper, garlic, escallion, pimento, calcium bicarbonate to prevent caking and other spices.",none,none
"salt, red pepper, sugar, thyme, celery, paprika, garlic, onion, and other spices.",gluten intolerance,wheat
"wheat, salt, paprika, allspice, red pepper garlic, onion, and other spices.",none,none
"escallion, hot peppers, onions, pimento, garlic, black pepper, thyme, water, salt",none,none
"escallion, hot peppers, onions, pimento, garlic, black pepper, thyme, water, salt",none,none
"pork snouts, water, pork tongues, pork, pork livers, spices, salt, vinegar, sodium lactate, sugar, gelatin, monosodium glutamate, sodium diacetate.",none,none
"mechanically separated chicken pork, water, bacon cured with; water, salt, sodium phosphate, sugar, sodium erythorbate, hydrolyzed soy and corn protein, monosodium glutamate, sodium nitrate). wheat flour, modified food starch, corn syrup, salt, flavoring,",soy allergy - wheat allergy,soy allergy - wheat allergy
"carbonated water, high fructose corn syrup, natural & artificial flavors, citric acid, sodium benzoate, caramel color, fd&c red #40, fd&c blue#1",none,none
"carbonated water, high fructose corn syrup, natural & artificial flavors, citric acid, sodium benzoate, caramel color, fd&c red #40, fd&c blue #1.",none,none
"carbonated water, high fructose corn syrup, natural & artificial flavors, sodium benzoate, citric acid, aspartame, fd&c red #40 and fd&c blue #1.",none,none
"salt, spice, granulated garlic, granulated onion, sugar, paprika, beef stock (flavor, salt), and less than 2% silicone dioxide to prevent caking.",none,none
"salt, spice, sugar, granulated garlic, granulated onion, lemon peel.",none,none
"orange juice (water, orange juice concentrate), soy sauce (water, soy beans, wheat, salt, molasses, caramel color, and sodium benzoate (added as preservative)), water, brown sugar, honey, spices and color, sesame seed, sesame seed oil, salted mirin (water","gluten allergy, sesame allergy, soy allergy","sesame, soy, wheat"
"salt, spice, granulated garlic, granulated onion, sugar.",none,none
"salt, spice, sugar, granulated garlic,granulated onion, lemon peel..",none,none
"sugar, chocolate, cocoa butter, milkfat, soya lecithin (emulsifier), sea salt, artificial flavor.","chocolate allergy, dairy allergy, soy allergy","chocolate, dairy (milkfat), soy (soya lecithin)"
"chocolate, sugar, cocoa butter, milkfat, almonds, orange pieces (orange, sugar, apple, dextrose, pineapple pulp, citric acid, sodium alginate, dicalcium phosphate, natural flavor), soya lecithin (emulsifier), sea salt, natural and artificial flavors, bour","almonds, apple, bour, chocolate, citric acid, cocoa butter, dextrose, dicalcium phosphate, milkfat, natural and artificial flavors, natural flavor), orange pieces (orange, pineapple pulp, sea salt, sodium alginate, soya lecithin (emulsifier), sugar","almonds, chocolate, citrus, milk, soy"
